"ID do pedido","Status do pedido","Cancelar Motivo","Status da Devolução / Reembolso","Número de rastreamento","Data de criação do pedido","Nº de referência do SKU principal","Nome do Produto","Número de referência SKU","Nome da variação","Preço acordado","Quantidade","Valor Total","Taxa de comissão","Taxa de serviço","Total global","Valor estimado do frete","Nome de usuário (comprador)"
"240101QHAPUUUH","Concluído","","","BR249217373752BSPXLM1135563","2024-01-01 08:48","#F748","Colágeno Tipo II + Vit. D + Magnésio Condroflan Ultra Airela Suplemento Alimentar C/60 Cápsulas","#F748","","44.99","1","44.99","8.10","3.90","44.99","10.31","qp2cn2st4r"
"240101QHU6955V","Concluído","","","BR249978498698XSPXLM1135384","2024-01-01 08:57","#F017","Cartliv Colágeno Tipo 2 Equaliv 60caps Dores E Articulação","#F017","","46.99","1","46.99","8.46","3.94","46.99","9.16","93rll_uig2"
"240101QJSAEK46","Concluído","","","BR241996078075SSPXLM1135412","2024-01-01 09:14","#F488","Kit C/10 Suplemento Alimentar Ômega 3 Neo Química EPA 540mg + DHA 360mg C/60 Caps.","#F488","","74.99","1","74.99","13.50","4.50","74.99","11.47","ktwbhy6soa"
"240101QK85BAW9","Concluído","","","BR248390827357OSPXLM1133435","2024-01-01 09:22","#F740","Darrow Actine Gel de Limpeza Dermatológico Peles Oleosas a Acneicas C/400g","#F740","","73.99","1","73.99","13.32","4.48","73.99","9.16","w4swu4ekbz"
"240101QMYK7UJ9","Concluído","","","BR245411271140LSPXLM1133261","2024-01-01 09:53","#F513","Kit C/5 Vitamina C Infantil Sabor Laranja Ágil-C Kids C/25 Gomas","#F513","","31.99","1","53.41","9.54","7.06","53.41","20.43","rosicleiderose"
"240101QMYK7UJ9","Concluído","","","BR245411271140LSPXLM1133261","2024-01-01 09:53","#F757","Agil C Plus Vitamina C + D + Zinco Pharlab Suplemento Alimentar C/40 Gomas","#F757","","20.99","1","53.41","9.54","7.06","53.41","20.43","rosicleiderose"
"240101QPENYE4E","Concluído","","","BR241108151586TSPXLM1131465","2024-01-01 10:19","#F740","Darrow Actine Gel de Limpeza Dermatológico Peles Oleosas a Acneicas C/400g","#F740","","73.99","1","74.42","13.32","4.48","66.39","20.43","ri77inh4"
"240101QQHFX3A6","Concluído","","","BR243933261990ESPXLM1134023","2024-01-01 10:39","#F185","Osso-Pro K2 com Vitamina D3 e K2 30Comprimidos - Kley Hertz","#F185","","53.99","1","53.99","9.72","4.08","53.99","11.48","luizacsr"
"240101QQNERRMB","Cancelado","Cancelado pelo comprador. Motivo : É necessário inserir/alterar o código do cupom","","","2024-01-01 10:41","#F495","Suplemento Alimentar Catarinense Poli vitamínico Multi Kids C/150ml","#F495","","23.99","3","0.00","0.00","0.00","0.00","11.48","rosimeirepaixo"
"240101QQNYWWPF","Cancelado","Cancelado automaticamente pelo sistema da Shopee. Motivo : Pedido não pago","","","2024-01-01 10:41","#F712","Suplemento Vitamínico Mineral Lavitan A-Z Original C/90 Comprimidos","#F712","","19.99","1","0.00","0.00","0.00","0.00","20.43","jairoliveira931"
"240101QQY0TS40","Concluído","","","BR241176411706VSPXLM1136825","2024-01-01 10:46","#F495","Suplemento Alimentar Catarinense Poli vitamínico Multi Kids C/150ml","#F495","","23.99","3","77.71","12.95","10.44","77.71","11.48","rosimeirepaixo"
"240101QRDR0FRF","Concluído","","","BR249060690792KSPXLM1137872","2024-01-01 10:55","#F017","Cartliv Colágeno Tipo 2 Equaliv 60caps Dores E Articulação","#F017","","46.99","1","46.99","8.46","3.94","46.99","12.63","thaniamelo"
"240101QRE5AED5","Concluído","","","BR244610436932TSPXLM1137014","2024-01-01 10:55","#F784","Lavitan Ômega 3 1000mg EPA 360mg DHA 240mg C/60 Cápsulas Moles - Kit C/2","#F784","","36.99","1","36.99","6.66","3.74","36.99","10.31","victorgustavo365"
"240101QS4NCGES","Concluído","","","BR246506447077MSPXLM1134781","2024-01-01 11:07","#F017","Cartliv Colágeno Tipo 2 Equaliv 60caps Dores E Articulação","#F017","","46.99","1","46.99","8.46","3.94","46.99","9.16","suelidequeirozmacedo"
"240101QS4P9YY3","Concluído","","","BR243885159951QSPXLM1134095","2024-01-01 11:07","#F748","Colágeno Tipo II + Vit. D + Magnésio Condroflan Ultra Airela Suplemento Alimentar C/60 Cápsulas","#F748","","44.99","2","89.98","16.20","7.80","89.98","9.16","qtk3z8gmvb"
"240101QS6N6YN3","Concluído","","","BR248023785596XSPXLM1131466","2024-01-01 11:09","#F488","Kit C/10 Suplemento Alimentar Ômega 3 Neo Química EPA 540mg + DHA 360mg C/60 Caps.","#F488","","74.99","1","79.57","13.50","4.50","79.57","9.16","ulipycqndf"
"240101QSG5FX3S","Cancelado","Cancelado automaticamente pelo sistema da Shopee. Motivo : Pedido não pago","","","2024-01-01 11:14","#F780","Protetor Solar FPS 50 OAZ Euro Farma Protege e Hidrata Resistente à Água C/200ml - Kit C/2","#F780","","67.99","1","0.00","0.00","0.00","0.00","10.32","cassiamariaguimares"
"240101QTQQ1E63","Concluído","","","BR243096172594RSPXLM1419094","2024-01-01 11:36","#F495","Suplemento Alimentar Catarinense Poli vitamínico Multi Kids C/150ml","#F495","","23.99","1","23.99","4.32","3.48","23.99","10.31","patriciamarthe"
"240101QTTBU1KV","Concluído","","","BR246446967708JSPXLM1134154","2024-01-01 11:37","#F052","Kit Lavitan A-z Mulher C/60 + Lavitan Cabelos E Unhas C/60","#F052","","39.99","1","77.98","14.04","7.56","77.98","9.16","mirianpain"
"240101QTTBU1KV","Concluído","","","BR246446967708JSPXLM1134154","2024-01-01 11:37","#F600","Ômega 3 Lavitan Suplemento Vitamínico C/120 Cápsulas Moles","#F600","","37.99","1","77.98","14.04","7.56","77.98","9.16","mirianpain"
"240101QU3GP5PV","Concluído","","","BR245412013178SSPXLM1137523","2024-01-01 11:43","#F364","Vitaminas Neo Química Mulher Saúde da Pele, Cabelo e Unhas C/60 Comprimidos ","#F364","","14.99","1","14.99","2.70","3.30","14.99","6.84","tatianaercilia"
"240101QUD7HUEU","Concluído","","","BR248794417759USPXLM1135060","2024-01-01 11:48","#F601","Ômega 3 Lavitan Suplemento Vitamínico C/120 Cápsulas Moles - Kit C/2","#F601","","74.99","1","74.99","13.50","4.50","74.99","7.99","priroscoe"
"240101QUGS2M3W","Concluído","","","BR245297382100JSPXLM1134443","2024-01-01 11:50","#F521","Kit C/2 Cartliv Colágeno Tipo 2 Equaliv 60caps Dores E Articulação","#F521","","86.99","1","86.99","15.66","4.74","86.99","10.32","vanillemontes"
"240101QV08YHW6","Cancelado","Cancelado automaticamente pelo sistema da Shopee. Motivo : Pedido não pago","","","2024-01-01 11:59","#F196","Xô Insetos Repelente de Insetos Spray com 200ml","#F196","","16.99","1","0.00","0.00","0.00","0.00","9.16","claudineiaribeiromendes"
"240101QV9U3GP6","Concluído","","","BR248328335852YSPXLM1136389","2024-01-01 12:04","#F512","Kit C/3 Vitamina C Infantil Sabor Laranja Ágil-C Kids C/25 Gomas","#F512","","21.99","1","21.99","3.96","3.44","20.99","6.84","rute3456"
"240101QVNQKQXX","Concluído","","","BR2454290323410SPXLM1140118","2024-01-01 12:11","#F448","Ativador de Bronzeado Red Apple Bronzeador Sem Sol C/125ml","#F448","","27.99","1","27.99","5.04","3.56","27.99","7.99","soniagodinho"
"240101QVTBCDET","Concluído","","","BR244522716961NSPXLM1133555","2024-01-01 12:13","#F241","Protetor Hidratante Labial Diário Carmed Incolor Sabor Cereja 10g","#F241","","18.99","1","18.99","3.42","3.38","18.97","12.63","laysafrancielly775"
"240101QX53XJQE","Cancelado","Cancelado automaticamente pelo sistema da Shopee. Motivo : Pedido não pago","","","2024-01-01 12:37","#F017","Cartliv Colágeno Tipo 2 Equaliv 60caps Dores E Articulação","#F017","","46.99","1","0.00","0.00","0.00","0.00","10.31","ms1hl86bsi"
"240101QX53XJQE","Cancelado","Cancelado automaticamente pelo sistema da Shopee. Motivo : Pedido não pago","","","2024-01-01 12:37","#F051","Kit Lavitan A-Z Original 60Comp + Lavitan A-Z Mulher 60Comp.","#F051","","29.99","1","0.00","0.00","0.00","0.00","10.31","ms1hl86bsi"
"240102QYX580JX","Concluído","","","BR2416715288532SPXLM1136874","2024-01-01 13:09","#F748","Colágeno Tipo II + Vit. D + Magnésio Condroflan Ultra Airela Suplemento Alimentar C/60 Cápsulas","#F748","","44.99","1","44.99","7.92","3.88","43.99","9.16","ruthmirandas"
"240102R065UF3A","Concluído","","","BR245502753603T","2024-01-01 13:14","#F712","Suplemento Vitamínico Mineral Lavitan A-Z Original C/90 Comprimidos","#F712","","19.99","1","67.97","12.05","10.34","66.97","16.11","eu_fabinho"
"240102R065UF3A","Concluído","","","BR245502753603T","2024-01-01 13:14","#F495","Suplemento Alimentar Catarinense Poli vitamínico Multi Kids C/150ml","#F495","","23.99","2","67.97","12.05","10.34","66.97","16.11","eu_fabinho"
"240102R0DTW0TA","Concluído","","","BR248212240045SSPXLM1134816","2024-01-01 13:18","#F488","Kit C/10 Suplemento Alimentar Ômega 3 Neo Química EPA 540mg + DHA 360mg C/60 Caps.","#F488","","74.99","1","74.99","13.50","4.50","74.99","11.47","paolalucena"
"240102R0J82PPU","Concluído","","","BR245131092703RSPXLM1137071","2024-01-01 13:20","#F488","Kit C/10 Suplemento Alimentar Ômega 3 Neo Química EPA 540mg + DHA 360mg C/60 Caps.","#F488","","74.99","1","74.99","13.50","4.50","74.56","7.99","banw8ftf1v"
"240102R1TP57CR","Concluído","","","BR241319557542MSPXLM1134753","2024-01-01 13:43","#F017","Cartliv Colágeno Tipo 2 Equaliv 60caps Dores E Articulação","#F017","","46.99","1","46.99","8.46","3.94","46.99","17.25","francaelisiasilva"
